listing_id,category,location,seller_type,posted_days_ago,title,description,price_aed,is_suspicious,suspicious_reason
2447,Cars,Abu Dhabi,individual,9,2023 Nissan Patrol 136705km - Like New,Like New. Well maintained. Service history available. Located in Abu Dhabi.,148753,0,
2114,Electronics,JLT,business,18,LG Model X 256GB Used,Used. No issues. Can meet in JLT.,1689,0,
2064,Jobs,Deira,individual,23,Other Model X 128GB Fair,Fair. No issues. Can meet in Deira.,0,0,
3287,Furniture,Downtown Dubai,individual,1,Sofa set - Good condition,Sofa set in Good condition. Pickup from Downtown Dubai.,1304,1,new_listing_fast_post
2537,Laptops,Deira,business,14,Dell laptop 32GB/512GB - Fair,Fair. Battery good. Includes charger. Available in Deira.,5541,0,
1668,Services,Sharjah,business,28,Generic Model Y 512GB - with box,Fair. No issues. Can meet in Sharjah.,1729,0,
2583,Jobs,Al Barsha,business,10,Generic Model X 128GB - with box,Like New. No issues. Can meet in Al Barsha.,0,0,
3404,Services,Bur Dubai,business,0,PROMOTION 💯 OTHER MODEL Y 256GB NEW,New. No issues. Can meet in Bur Dubai. cheap cheap cheap cheap cheap cheap cheap cheap cheap,1321,1,repeated_words|spam_title_caps
1497,Apartments,Downtown Dubai,business,25,4BHK in Downtown Dubai | Semi-furnished,4 bedroom apartment in Downtown Dubai. Semi-furnished. Ready to move. Family building.,12179,0,
3480,Apartments,Sharjah,individual,1,LIMITED OFFER ✅ 3BHK IN SHARJAH | SEMI-FURNISHED,3 bedroom apartment in Sharjah. Semi-furnished. Ready to move. Family building. Contact WhatsApp +971515379448 original original original original original original,666,1,new_listing_fast_post|phone_in_description|price_too_low|repeated_words|spam_title_caps
1471,Apartments,Downtown Dubai,individual,26,1 bedroom apartment for rent in Downtown Dubai,1 bedroom apartment in Downtown Dubai. Unfurnished. Ready to move. Family building.,5019,0,
1246,Bikes,Business Bay,business,16,Yamaha Model Z 512GB - with box,Good condition. No issues. Can meet in Business Bay.,10398,0,
1923,Jobs,Bur Dubai,individual,7,Generic Model Y for sale - Good condition,Good condition. No issues. Can meet in Bur Dubai.,0,0,
2131,Mobiles,Deira,individual,8,Google Model X 512GB Fair,Fair. No issues. Can meet in Deira.,696,0,
1670,Apartments,Abu Dhabi,business,8,1BR apartment in Abu Dhabi - Unfurnished,1 bedroom apartment in Abu Dhabi. Unfurnished. Ready to move. Family building.,14048,0,
1916,Electronics,Bur Dubai,business,18,Bose Model X 128GB Like New,Like New. No issues. Can meet in Bur Dubai.,1250,0,
2414,Jobs,Al Barsha,business,26,Other Model Z 512GB Like New,Like New. No issues. Can meet in Al Barsha.,0,0,
2606,Fashion,JLT,business,4,Nike Model Z 64GB Used,Used. No issues. Can meet in JLT.,1472,0,
1402,Mobiles,Al Barsha,individual,22,Xiaomi Model Y 512GB - with box,Used. No issues. Can meet in Al Barsha.,4280,0,
2103,Services,Deira,business,14,Generic Model Z 64GB - with box,New. No issues. Can meet in Deira.,254,0,
3072,Electronics,Abu Dhabi,individual,1,FREE DELIVERY 📞 LG MODEL Y 512GB - WITH BOX,New. No issues. Can meet in Abu Dhabi. Contact WhatsApp +971503504994 cheap cheap cheap cheap cheap,674,1,new_listing_fast_post|phone_in_description|price_too_low|repeated_words|spam_title_caps
1719,Services,Business Bay,business,6,Other Model Y for sale - Like New,Like New. No issues. Can meet in Business Bay.,1524,0,
3011,Fashion,Ajman,individual,0,LIMITED OFFER 🎉 ZARA MODEL Z FOR SALE - LIKE NEW,Like New. No issues. Can meet in Ajman. sale sale sale sale sale sale sale sale sale sale sale sale,238,1,new_listing_fast_post|repeated_words|spam_title_caps
3436,Apartments,Dubai Marina,individual,26,CHEAP 💯 3BR APARTMENT IN DUBAI MARINA - FURNISHED,3 bedroom apartment in Dubai Marina. Furnished. Ready to move. Family building. Contact WhatsApp +971562478426 Email: oyu@gmail.com,3086,1,email_in_description|phone_in_description|price_too_low|spam_title_caps
1196,Apartments,JLT,individual,4,4 bedroom apartment for rent in JLT,4 bedroom apartment in JLT. Furnished. Ready to move. Family building.,16353,0,
1891,Mobiles,JLT,business,17,Apple iPhone 12 512GB - with box,New. No issues. Can meet in JLT.,1768,0,
2264,Apartments,Dubai Marina,individual,29,4 bedroom apartment for rent in Dubai Marina,4 bedroom apartment in Dubai Marina. Unfurnished. Ready to move. Family building.,14590,0,
2034,Laptops,Bur Dubai,individual,9,Lenovo ThinkPad for sale - Fair,Fair. Battery good. Includes charger. Available in Bur Dubai.,1143,0,
2325,Apartments,Dubai Marina,business,9,1BR apartment in Dubai Marina - Unfurnished,1 bedroom apartment in Dubai Marina. Unfurnished. Ready to move. Family building.,6786,0,
1509,Services,Ajman,business,8,Other Model Z 256GB - with box,Fair. No issues. Can meet in Ajman.,614,0,
2427,Apartments,Al Barsha,business,4,4BHK in Al Barsha | Semi-furnished,4 bedroom apartment in Al Barsha. Semi-furnished. Ready to move. Family building.,13701,0,
1194,Jobs,Bur Dubai,individual,7,Generic Model Y 512GB - with box,New. No issues. Can meet in Bur Dubai.,0,0,
2179,Laptops,Bur Dubai,business,14,Asus Vivobook 8GB RAM 512GB SSD - Good condition,Good condition. Battery good. Includes charger. Available in Bur Dubai.,2321,0,
3032,Fashion,Ajman,business,12,Nike Model Z for sale - New,New. No issues. Can meet in Ajman. Contact WhatsApp +971555768531 sale sale sale sale sale sale sale sale,1434,1,phone_in_description|repeated_words
1932,Laptops,Business Bay,business,4,Asus Vivobook 16GB RAM 512GB SSD - Used,Used. Battery good. Includes charger. Available in Business Bay.,4940,0,
2124,Bikes,Dubai Marina,individual,9,Yamaha Model Z 64GB - with box,Like New. No issues. Can meet in Dubai Marina.,5987,0,
2822,Apartments,Al Barsha,individual,0,FREE DELIVERY 💯 1BHK IN AL BARSHA | SEMI-FURNISHED,1 bedroom apartment in Al Barsha. Semi-furnished. Ready to move. Family building.,17200,1,new_listing_fast_post|spam_title_caps
2366,Laptops,JLT,business,1,Asus ROG 32GB RAM 1024GB SSD - New,New. Battery good. Includes charger. Available in JLT.,1778,0,
2992,Cars,Al Barsha,individual,11,100% ORIGINAL 💯 2022 HONDA MODEL X - 123403KM,Like New. Well maintained. Service history available. Located in Al Barsha.,62098,1,spam_title_caps
2258,Furniture,Bur Dubai,business,12,Sofa set - barely used,Sofa set in New. Pickup from Bur Dubai.,2456,0,
3274,Services,Bur Dubai,business,11,Generic Model Z for sale - Like New,Like New. No issues. Can meet in Bur Dubai.,334,1,
2273,Furniture,JLT,individual,6,Coffee table - barely used,Coffee table in Fair. Pickup from JLT.,963,0,
2936,Furniture,Bur Dubai,individual,29,Office chair - Fair,Office chair in Fair. Pickup from Bur Dubai.,1667,1,
2266,Services,Abu Dhabi,individual,4,Generic Model Z for sale - Good condition,Good condition. No issues. Can meet in Abu Dhabi.,446,0,
1772,Laptops,Deira,individual,22,HP EliteBook 8GB RAM 1024GB SSD - Used,Used. Battery good. Includes charger. Available in Deira.,2453,0,
2608,Apartments,Dubai Marina,individual,22,2BHK in Dubai Marina | Semi-furnished,2 bedroom apartment in Dubai Marina. Semi-furnished. Ready to move. Family building.,14103,0,
2311,Electronics,Deira,business,21,Sony Model X 128GB Like New,Like New. No issues. Can meet in Deira.,525,0,
1134,Electronics,Sharjah,business,22,Sony Model Y 128GB New,New. No issues. Can meet in Sharjah.,1233,0,
2855,Cars,Al Barsha,individual,27,2010 BMW X5 152842km - Used,Used. Well maintained. Service history available. Located in Al Barsha. Email: ycarlson@gmail.com cheap cheap cheap cheap cheap,3336,1,email_in_description|price_too_low|repeated_words
3399,Mobiles,Ajman,individual,7,Google Model Y 256GB - with box,Good condition. No issues. Can meet in Ajman. Contact WhatsApp +971547079433,688,1,phone_in_description
1420,Fashion,Downtown Dubai,business,20,H&M Model Y 512GB Good condition,Good condition. No issues. Can meet in Downtown Dubai.,107,0,
2755,Apartments,Bur Dubai,individual,7,CHEAP 💯 3BR APARTMENT IN BUR DUBAI - UNFURNISHED,3 bedroom apartment in Bur Dubai. Unfurnished. Ready to move. Family building. Email: garzaanthony@outlook.com,3778,1,email_in_description|price_too_low|spam_title_caps
1707,Jobs,Abu Dhabi,business,5,Generic Model X 64GB - with box,Like New. No issues. Can meet in Abu Dhabi.,0,0,
1093,Jobs,JLT,individual,27,Other Model Z for sale - Used,Used. No issues. Can meet in JLT.,0,0,
1056,Bikes,Sharjah,individual,8,Kawasaki Model Z for sale - Used,Used. No issues. Can meet in Sharjah.,14713,0,
1218,Mobiles,Dubai Marina,individual,1,OnePlus Model Z 512GB Used,Used. No issues. Can meet in Dubai Marina.,2983,0,
2036,Cars,Deira,individual,6,2011 BMW 5 Series 192816km - New,New. Well maintained. Service history available. Located in Deira.,106711,0,
